,name,close_approach_date,miss_distance_km,relative_velocity_kmh,is_potentially_hazardous,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_sentry_object,estimated_diameter_mean
2858,(2020 WR1),2024-06-05,66823935.321566254,61031.8788049951,False,24.45,34.241673084,76.5667086792,False,55.4041908816
2859,(2020 XP2),2024-06-05,39885207.25001328,35687.3567176348,False,22.13,99.6678239968,222.8640296264,False,161.2659268116
2860,(2021 SQ3),2024-06-05,57700459.1069374,10745.0840053335,False,20.75,188.1719894893,420.7653599595,False,304.4686747244
2861,(2023 VL2),2024-06-05,43976134.04501951,20568.6262182613,False,28.21,6.0611492274,13.5531416942,False,9.807145460800001
2862,(2024 JR17),2024-06-05,7400331.712894301,52321.2908162861,False,23.13,62.8861455592,140.6176963133,False,101.75192093625
2863,(2024 LM1),2024-06-05,6035467.138549007,25214.5247375219,False,25.61,20.0703514113,44.8786700881,False,32.4745107497
2864,(2024 LE4),2024-06-05,4947286.203374846,64544.737742212,False,25.15,24.8058993152,55.4676771118,False,40.1367882135
2865,(2024 LG4),2024-06-05,31652238.38658881,102496.8289164692,True,19.49,336.1669211578,751.6920874957,False,543.92950432675
2866,163693 Atira (2003 CP20),2024-06-04,52553541.03859511,61169.3179151368,False,16.41,1388.5290703597,3104.8453900588,False,2246.68723020925
2867,482566 (2012 WK4),2024-06-04,17967703.934605423,23793.0181393995,False,21.52,131.9942390415,295.1480911351,False,213.5711650883
2868,(2014 FW32),2024-06-04,72357161.57030675,67526.0098416698,False,26.98,10.6795997524,23.8803110188,False,17.2799553856
2869,(2014 KE46),2024-06-04,36901182.0825928,55845.3624297977,False,21.02,166.1709017398,371.5694321726,False,268.8701669562
2870,(2014 WC201),2024-06-04,24958567.30829981,58106.5737189851,False,26.2,15.2951935344,34.201092472,True,24.7481430032
2871,(2020 HD6),2024-06-04,54192875.84690638,83340.2187205693,True,19.83,287.445144255,642.7468823564,False,465.0960133057
2872,(2021 RC2),2024-06-04,66201824.18673074,75916.4949365994,False,25.16,24.6919265606,55.212826285,False,39.9523764228
2873,(2022 BJ8),2024-06-04,22952053.937779564,36120.9772632143,False,19.41,348.7827331593,779.9019007224,False,564.34231694085
2874,(2023 HO2),2024-06-04,73947383.29317851,84639.1893691529,False,22.74,75.2583992483,168.2828965971,False,121.7706479227
2875,(2023 XL2),2024-06-04,47992549.41717209,35251.084804162,False,30.17,2.4578477463,5.4959146391,False,3.9768811927000005
2876,(2024 KF),2024-06-04,9460874.164299274,26349.2644930888,False,23.19,61.1723235067,136.7854737026,False,98.97889860465
2877,(2024 KM),2024-06-04,20689834.468926378,80181.8902333159,False,22.78,73.884778657,165.2113875797,False,119.54808311835
2878,(2024 KS),2024-06-04,14724173.705742288,28528.5133981959,False,24.61,31.8093633221,71.1278987093,False,51.4686310157
2879,(2024 KF1),2024-06-04,8674933.584975353,64105.0913410225,False,24.04,41.3575664881,92.4783300513,False,66.9179482697
2880,(2024 KK1),2024-06-04,4277172.029214804,16564.471868859,False,26.12,15.8691979174,35.4846052917,False,25.67690160455
2881,(2024 KV1),2024-06-04,12159379.305402609,23026.0677485466,False,24.37,35.5267088298,79.4401359603,False,57.48342239505
2882,(2024 KX1),2024-06-04,1351003.030188325,38674.4244414826,False,26.67,12.3184191266,27.5448225424,False,19.9316208345
2883,(2024 KA2),2024-06-04,349183.883220287,47309.0230433452,False,27.97,6.7694748114,15.1370058502,False,10.9532403308
2884,(2024 LK1),2024-06-04,11157300.336853957,49630.1815401455,False,24.05,41.1675457307,92.0534307207,False,66.61048822570001
2885,478784 (2012 UV136),2024-05-29,38689550.52261779,41072.8285341367,False,25.6,20.1629919443,45.0858206172,False,32.62440628075
2886,(2001 VH5),2024-05-29,47715817.36813023,51223.8786135343,False,21.06,163.1379409728,364.7875257245,False,263.96273334865
2887,(2009 UK20),2024-05-29,23883789.100615326,12712.1048840399,False,26.3,14.6067964271,32.6617897446,False,23.63429308585
2888,(2018 RY1),2024-05-29,48449185.022316426,25376.0912167945,False,24.6,31.9561886721,71.4562101727,False,51.7061994224
2889,(2018 UA3),2024-05-29,62884754.50229493,88941.6619267972,False,23.6,50.6471458835,113.2504610618,False,81.94880347265
2890,(2020 KN1),2024-05-29,41059740.11489393,42955.7523834949,False,22.98,67.3837189986,150.6745762577,False,109.02914762815001
2891,(2021 LV),2024-05-29,4608600.335722022,55968.1373193214,False,27.92,6.9271561359,15.4895920106,False,11.208374073249999
2892,(2021 RJ6),2024-05-29,14098881.37220123,22319.3031048527,False,26.66,12.3752783658,27.6719636665,False,20.023621016150003
2893,(2021 TM14),2024-05-29,23324529.65584673,45011.6597115248,False,27.98,6.7383718999,15.0674576258,False,10.90291476285
2894,(2021 UH2),2024-05-29,28416534.564771958,21305.4412580244,False,25.09,25.5008687857,57.0216760901,False,41.261272437900004
2895,(2022 MB),2024-05-29,14571678.498995064,32303.8611790878,False,24.08,40.602705828,90.7904103018,False,65.69655806489999
2896,(2023 FO4),2024-05-29,67919268.17187023,67463.6730776057,False,26.49,13.3830461816,29.925401008,False,21.6542235948
2897,(2024 BE5),2024-05-29,48340272.56695055,19814.9416443376,False,25.52,20.9196770901,46.7778200408,False,33.84874856545
2898,(2024 JG),2024-05-29,3341309.236748936,26511.0340374241,False,25.25,23.6894499356,52.9712204056,False,38.3303351706
2899,(2024 JS3),2024-05-29,72350542.28343329,47750.3298677304,False,21.07,162.3883902199,363.1114792885,False,262.7499347542
2900,(2024 JC6),2024-05-29,12988275.71631407,18744.742507837,False,25.25,23.6894499356,52.9712204056,False,38.3303351706
2901,(2024 KP),2024-05-29,809496.499290713,44042.3059509198,False,25.85,17.9702854859,40.1827799216,False,29.07653270375
2902,(2024 KQ),2024-05-29,3734480.339111691,29839.3533443257,False,25.82,18.2202770591,40.7417780731,False,29.4810275661
2903,(2024 KR),2024-05-29,6197651.889094854,61600.2701762999,True,21.59,127.8070988179,285.7853609639,False,206.7962298909
2904,(2024 KU),2024-05-29,596746.35222361,33977.1032565911,False,28.23,6.0055802772,13.4288857443,False,9.71723301075
2905,(2024 LU),2024-05-29,9010741.010091932,31479.7365825037,False,23.57,51.3517178663,114.8259319105,False,83.0888248884
2906,(2024 NN2),2024-05-29,65215657.31530294,79506.46734322,False,19.3,366.9061375314,820.4270648822,False,593.6666012068
2907,(2024 QE5),2024-05-29,69210382.56708315,113114.1902288461,True,19.36,356.9069266704,798.0681496756,False,577.4875381730001
2908,304330 (2006 SX217),2024-05-28,55031533.27947875,62028.0447558073,True,18.9,441.1181999969,986.3702813054,False,713.74424065115
2909,422659 (1998 LD),2024-05-28,29078713.708872307,41403.201308015,False,19.96,270.7415909448,605.396601689,False,438.0690963169
2910,(2008 LD),2024-05-28,2941351.267978743,16069.9653405404,False,28.9,4.411182,9.8637028131,True,7.13744240655
2911,(2013 YW102),2024-05-28,59174005.42681345,50937.351700451,False,23.6,50.6471458835,113.2504610618,False,81.94880347265
2912,(2014 QZ295),2024-05-28,74701417.08527671,88565.468057361,False,24.8,29.1443904535,65.1688382168,False,47.156614335149996
2913,(2018 RO5),2024-05-28,37955946.055003375,30397.8007627648,False,25.61,20.0703514113,44.8786700881,False,32.4745107497
2914,(2019 HH3),2024-05-28,35336197.98414344,62347.9815266681,False,25.5,21.113244479,47.2106498806,False,34.1619471798
2915,(2020 CF2),2024-05-28,51446224.89027138,20477.5068149022,False,27.6,8.0270316728,17.948988478,True,12.9880100754
2916,(2020 DP4),2024-05-28,20695433.06449262,23886.6694478235,False,25.18,24.4655496172,54.706632051,False,39.5860908341
2917,(2020 KQ5),2024-05-28,27919958.347908866,118160.330894024,False,20.18,244.655496172,547.0663205095,False,395.86090834075
2918,(2021 KO2),2024-05-28,11710838.201647382,47023.0931042082,False,28.02,6.615382752,14.7924455306,False,10.7039141413
2919,(2021 VO6),2024-05-28,49841424.46601366,35814.4826242509,True,21.11,159.4244680687,356.4839478784,False,257.95420797355
2920,(2022 WR),2024-05-28,50882403.278939694,59243.3872615782,False,25.38,22.3128464417,49.8930414151,False,36.1029439284
2921,(2023 KG1),2024-05-28,64760567.624627605,81140.0350703119,False,24.95,27.1991277348,60.8190985438,False,44.0091131393
2922,(2023 KF5),2024-05-28,55901424.39862056,48626.8995587112,False,26.45,13.6318555865,30.4817557509,False,22.0568056687
2923,(2024 JV17),2024-05-28,6609617.495458254,30140.4922332482,False,24.59,32.1036917371,71.7860370529,False,51.944864394999996
2924,(1998 KY26),2024-06-01,4589323.498268923,18937.115000871,False,25.7,19.2555078188,43.0566244241,False,31.156066121450003
2925,(2001 WK15),2024-06-01,62533984.83677328,48653.3677450187,False,21.34,143.4019234645,320.6564489709,False,232.0291862177
2926,(2007 EC),2024-06-01,21555412.48699886,13332.1365686651,False,22.23,95.1820329819,212.8334959841,False,154.00776448300002
2927,(2015 YA1),2024-06-01,51635501.186763175,58044.4213094903,False,24.5,33.4622374455,74.8238376074,False,54.14303752645
2928,(2016 JC6),2024-06-01,7604631.510118927,25519.8733508425,True,21.37,141.4343753131,316.2568775553,False,228.84562643419997
2929,(2016 JN6),2024-06-01,61978463.8278162,52303.7340174488,False,25.9,17.561231848,39.2681081809,False,28.41467001445
2930,(2017 HK1),2024-06-01,50631429.99346016,49130.0933771426,False,25.1,25.3837029364,56.7596852866,False,41.0716941115
2931,(2020 BZ6),2024-06-01,48663746.081519455,19680.7293211861,False,25.5,21.113244479,47.2106498806,False,34.1619471798
2932,(2023 OE5),2024-06-01,20472428.07319574,11944.3997071163,False,26.37,14.1434375313,31.6256877555,False,22.8845626434
2933,(2023 XM10),2024-06-01,40572308.84574352,36375.9421735732,False,23.63,49.9522409906,111.6966064835,False,80.82442373705
2934,(2024 JC1),2024-06-01,5782214.370485133,17338.9978219896,False,25.1,25.3837029364,56.7596852866,False,41.0716941115
2935,(2024 JP1),2024-06-01,7072635.858283796,17015.9615231724,False,25.82,18.2202770591,40.7417780731,False,29.4810275661
2936,(2024 KB1),2024-06-01,364228.447333216,39798.8458271435,False,28.25,5.9505207863,13.3057689797,True,9.628144883000001
2937,(2024 KE1),2024-06-01,14269333.110480295,38946.521550767,False,24.45,34.241673084,76.5667086792,False,55.4041908816
2938,(2024 KO1),2024-06-01,2775545.276592741,25066.0021363364,False,27.16,9.8300330186,21.9806220506,False,15.905327534600001
2939,(2024 KU1),2024-06-01,8333360.328833658,25209.2713357704,False,26.09,16.089960451,35.9782453236,False,26.0341028873
2940,(2024 LA1),2024-06-01,12023972.1846323,20332.1661974078,False,25.81,18.3043780368,40.9298335762,False,29.6171058065
2941,65679 (1989 UQ),2024-05-30,41483967.121717416,28587.7201565907,True,19.62,316.6321257337,708.0109570008,False,512.32154136725
2942,162472 (2000 LL),2024-05-30,25387795.64119356,58356.5464321916,False,19.19,385.9712679548,863.0579925088,False,624.5146302318
2943,(2008 ST),2024-05-30,45566917.47797354,43720.5485785302,False,27.1,10.1054341542,22.5964377109,True,16.350935932549998
2944,(2019 LR5),2024-05-30,35270472.45915468,68935.5991710385,False,26.2,15.2951935344,34.201092472,False,24.7481430032
2945,(2020 BD11),2024-05-30,42459172.73281352,38228.096201359,False,24.29,36.8599699314,82.4213984152,False,59.6406841733
2946,(2023 YD),2024-05-30,73915974.0684684,22739.9789036552,False,25.61,20.0703514113,44.8786700881,False,32.4745107497
2947,(2023 YX),2024-05-30,46758712.126917966,35211.6235436022,False,23.34,57.0893340024,127.6556316195,False,92.37248281095
2948,(2024 JA3),2024-05-30,2386484.55522568,30555.3917590404,False,24.97,26.9497646329,60.2615056967,False,43.6056351648
2949,(2024 JE8),2024-05-30,16694903.938948948,61454.9803379962,False,22.98,67.3837189986,150.6745762577,False,109.02914762815001
2950,(2024 KY),2024-05-30,1432737.621637265,25831.7703276457,False,26.5,13.3215566698,29.7879062798,False,21.5547314748
2951,(2024 LB),2024-05-30,2981978.144966336,18823.5688500361,False,27.48,8.4831076189,18.9688052962,False,13.72595645755
2952,(2024 LB3),2024-05-30,60333187.32122384,56632.253754744,False,20.85,179.7028548592,401.8277992159,False,290.76532703755
2953,(2024 NH1),2024-05-30,27621995.144759797,33613.6693876342,False,23.09,64.0552862945,143.2319744727,False,103.6436303836
2954,(2008 XH),2024-05-31,5288369.272175911,52900.1072763563,False,23.18,61.4546821229,137.4168467624,False,99.43576444265001
2955,(2012 BN1),2024-05-31,31525173.246963948,19126.8999761086,False,25.52,20.9196770901,46.7778200408,False,33.84874856545
2956,(2016 CN248),2024-05-31,64044940.10865429,60836.300714178,False,27.3,9.216265485,20.6081961232,False,14.912230804099998
2957,(2017 MD4),2024-05-31,35265780.486519784,45902.0829545129,False,21.09,160.8996045096,359.7824532363,False,260.34102887295
2958,(2017 RP2),2024-05-31,42438266.02656677,19447.431053788,False,23.62,50.182810059,112.2121745938,False,81.1974923264
2959,(2017 WC14),2024-05-31,56757880.41729362,75152.5579721286,False,25.6,20.1629919443,45.0858206172,False,32.62440628075
2960,(2019 CC2),2024-05-31,50640488.68304098,22184.2285074217,False,26.3,14.6067964271,32.6617897446,False,23.63429308585
2961,(2019 LJ5),2024-05-31,33913886.10734264,40933.2902631008,False,24.4,35.0392641108,78.3501764334,False,56.6947202721
2962,(2022 FA4),2024-05-31,27265486.0372773,17964.9492153761,False,25.71,19.1670367967,42.8587972046,False,31.01291700065
2963,(2022 WO7),2024-05-31,12570912.155047674,38875.6858544035,False,24.56,32.5502985765,72.7846803049,False,52.667489440699995
2964,(2024 EM),2024-05-31,19060076.243062098,27776.2828438602,False,21.52,131.9942390415,295.1480911351,False,213.5711650883
2965,(2024 KX),2024-05-31,290759.482276877,29704.2516886322,False,27.67,7.7723970203,17.3796080855,False,12.5760025529
2966,(2024 LB1),2024-05-31,16584422.231846346,63066.9841649518,False,23.59,50.8809224871,113.773201439,False,82.32706196305
2967,(2024 MM2),2024-05-31,11261148.216170128,20878.0428226056,False,24.14,39.496169372,88.3161195666,False,63.906144469299996
2968,419624 (2010 SO16),2024-06-03,66585937.01838671,59564.6284812916,True,20.44,217.0475943071,485.3331752235,False,351.1903847653
2969,(2007 YN56),2024-06-03,18684956.4724014,50965.9486333704,False,23.0,66.7659413495,149.2931834393,False,108.0295623944
2970,(2012 LJ2),2024-06-03,41165345.61958473,66661.5120386155,False,21.7,121.4940407996,271.6689340891,False,196.58148744435
2971,(2022 UM11),2024-06-03,56476688.9155862,48560.2646161104,False,24.67,30.9424698617,69.1894660026,False,50.06596793215
2972,(2023 KD2),2024-06-03,62700669.34165086,73026.4592170894,False,24.9,27.8326768072,62.2357573367,False,45.034217071949996
2973,(2023 RF4),2024-06-03,59571132.106296025,48793.3417094566,False,25.26,23.5806068,52.7278397554,False,38.1542232777
2974,(2023 VO6),2024-06-03,22670027.350842237,19951.6326092883,False,28.11,6.34680239,14.1918815838,False,10.2693419869
2975,(2024 KZ),2024-06-03,4387865.522021965,35467.5927067459,False,24.95,27.1991277348,60.8190985438,False,44.0091131393
2976,(2024 KL1),2024-06-03,10528041.744905164,112589.7651655405,False,22.75,74.912618313,167.5097069204,False,121.2111626167
2977,(2024 KT1),2024-06-03,1852970.769246002,25787.2122851236,False,26.99,10.6305314486,23.7705909561,False,17.200561202350002
2978,(2024 LM),2024-06-03,954670.251642055,23806.6553153357,False,27.98,6.7383718999,15.0674576258,False,10.90291476285
2979,(2024 LQ1),2024-06-03,3847195.033780635,20919.5380712739,False,25.51,21.0162379322,46.9937366478,False,34.00498729
2980,(2024 LO4),2024-06-03,2974063.10118208,16864.9712570751,False,27.64,7.8805218334,17.6213825176,False,12.7509521755
2981,(2024 JE52),2024-06-03,54129109.78473845,24843.514355216,False,21.56,129.5850726695,289.7610313582,False,209.67305201385
2982,14827 Hypnos (1986 JK),2024-06-02,11735069.5859168,50204.3476567594,True,18.78,466.1814373895,1042.4133838516,False,754.29741062055
2983,101955 Bennu (1999 RQ36),2024-06-02,53827044.0096025,23815.1451491229,True,20.21,241.2986969214,539.5602891983,True,390.42949305984996
2984,267337 (2001 VK5),2024-06-02,45584848.24875217,48666.7268141098,True,18.06,649.4638409061,1452.2452971941,False,1050.8545690501
2985,(2003 WJ98),2024-06-02,72593654.574839,44665.7829488356,False,23.05,65.2461629789,145.8948556919,False,105.5705093354
2986,(2013 GS38),2024-06-02,34402821.71771399,58885.2920435069,False,19.91,277.0479727327,619.4981000589,False,448.2730363958
2987,(2015 LG14),2024-06-02,28421179.907750767,24498.3496362156,False,23.2,60.8912622106,136.1570015386,False,98.5241318746
2988,(2015 OQ21),2024-06-02,58407655.97510772,72772.8511230216,False,27.9,6.9912523225,15.6329154409,False,11.3120838817
