,name,close_approach_date,miss_distance_km,relative_velocity_kmh,is_potentially_hazardous,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_sentry_object
5784,(2002 AS4),2023-12-30,14318370.484437797,98137.4878480716,True,22.26,93.8760865307,209.9133109443,False
5785,(2012 XS111),2023-12-30,60067687.39441711,95075.0311183312,False,22.1,101.054341542,225.9643771094,False
5786,(2017 XE2),2023-12-30,74593030.30186623,67212.4214808806,False,25.28,23.3644184974,52.2444280149,False
5787,(2019 UM4),2023-12-30,66915334.59364782,74816.1858733729,False,26.2,15.2951935344,34.201092472,False
5788,(2020 TP7),2023-12-30,38955638.41393299,71705.2904767433,False,19.68,308.003021266,688.7156928262,False
5789,(2021 SD3),2023-12-30,22692807.87512924,12466.872894484,False,25.12,25.1509837491,56.239309364,False
5790,(2022 UO4),2023-12-30,26469135.899606448,21640.1173664846,False,25.23,23.9086457171,53.4613570733,False
5791,(2023 XS5),2023-12-30,38290666.74135313,11711.0911662735,False,22.32,91.3177025518,204.1925904549,False
5792,(2023 XO15),2023-12-30,7895753.871949063,12715.0545685585,False,25.82,18.2202770591,40.7417780731,False
5793,(2023 YM),2023-12-30,3885096.671410651,44490.5703646672,False,24.92,27.5775052924,61.6651764838,False
5794,(2023 YT1),2023-12-30,16985163.315546416,64497.140453263,False,22.77,74.2258153001,165.9739686963,False
5795,(2023 YA2),2023-12-30,10367303.740400298,25918.3457537627,False,25.21,24.1298696921,53.9560289198,False
5796,(2024 AE1),2023-12-30,1933377.88903571,12602.2295390905,False,27.23,9.5182032982,21.2833495984,False
5797,(2024 AG1),2023-12-30,15879373.798526246,53925.44552275,False,22.92,69.271561359,154.8959201062,False
5798,(2024 AL3),2023-12-30,6465182.06843451,41073.471624276,False,23.7,48.3676488219,108.1533506775,True
5799,(2024 DN),2023-12-30,4986610.157713674,15023.6094839808,False,25.39,22.2103282246,49.6638037128,False
5800,(2014 YW14),2023-12-31,17857092.07735592,43733.5893716065,False,27.6,8.0270316728,17.948988478,False
5801,(2015 XO55),2023-12-31,44127141.80014532,4857.645097932,False,23.61,50.4144433858,112.7301224584,False
5802,(2017 YP1),2023-12-31,44837003.051259704,54386.1410630098,False,25.7,19.2555078188,43.0566244241,False
5803,(2020 LD3),2023-12-31,39759965.02027352,85958.3345755687,False,20.57,204.4348710282,457.1302685904,False
5804,(2021 AM6),2023-12-31,7004001.866466283,23926.3696484995,False,26.62,12.6053519682,28.1864238812,True
5805,(2022 XO1),2023-12-31,64800016.11919321,75249.8118673661,False,26.59,12.7807098818,28.5785360964,True
5806,(2023 XN4),2023-12-31,21176180.151213568,34174.6787137416,False,22.89,70.2352247696,157.0507369998,False
5807,(2023 XE12),2023-12-31,5625271.948178122,42386.4031096044,False,24.62,31.6632125734,70.8010957001,False
5808,(2023 YU),2023-12-31,11149487.647932352,57483.5574210163,False,23.96,42.9096504404,95.9488952756,False
5809,(2024 AB),2023-12-31,655214.630222291,29441.7208611537,False,27.51,8.3667150189,18.7085435306,False
5810,(2024 AK),2023-12-31,13516385.533556378,75501.4038415877,False,23.51,52.7904029034,118.0429294515,False
5811,(2024 AL),2023-12-31,357799.867824428,45233.8114619412,False,27.7,7.6657557353,17.1411509231,False
5812,(2024 AF1),2023-12-31,8939792.754185306,44660.8170284681,False,25.38,22.3128464417,49.8930414151,False
5813,(2024 AO1),2023-12-31,8513159.660100099,50463.5274964771,False,23.04,65.5473255837,146.5682757484,False
5814,(2024 AM2),2023-12-31,2480160.467532056,62672.6853752231,False,24.92,27.5775052924,61.6651764838,False
5815,(2024 AX2),2023-12-31,31662557.273666732,45803.998242522,False,22.81,72.8710414898,162.9446023625,False
5816,(2024 AQ3),2023-12-31,3698182.585125306,16741.6008295604,False,26.42,13.8214935879,30.905799213,False
5817,(2024 AA4),2023-12-31,36382001.747251004,81413.2536958087,True,20.32,229.3796979965,512.9085973785,False
5818,(2024 MD),2023-12-31,34984661.240583576,25205.1623877467,False,28.0,6.676594135,14.9293183439,True
5819,(2024 MZ1),2023-12-31,44489625.47256094,38328.5922088216,False,23.69,48.5909037451,108.6525638621,False
5820,(2024 RT9),2023-12-31,22238044.277890936,43761.3476524207,False,21.74,119.2765246442,266.7104172244,False
5821,(2024 SJ1),2023-12-31,55696166.11288305,42082.743993295,False,26.71,12.0935826388,27.0420728718,False
5822,(2003 YG136),2023-12-27,22673574.720254183,26158.2475010995,False,25.24,23.7987954683,53.2157244498,False
5823,(2011 YH6),2023-12-27,57070493.54537456,51618.6614529068,False,21.79,116.5614594686,260.6393469284,False
5824,(2016 AJ9),2023-12-27,18410689.88601586,31047.3243984937,False,24.18,38.7752830381,86.70416872,False
5825,(2017 KE35),2023-12-27,65694648.407266036,37096.3431564995,False,19.35,358.5543341929,801.7518648824,False
5826,(2019 YB4),2023-12-27,30611184.759767987,43517.9028685676,False,26.8,11.6025908209,25.9441817907,False
5827,(2020 NS),2023-12-27,57247461.362956576,58393.8844764232,False,22.92,69.271561359,154.8959201062,False
5828,(2022 OF),2023-12-27,50165888.662557065,59449.7560417585,False,26.31,14.5396842937,32.5117224521,False
5829,(2023 HC3),2023-12-27,40049248.584924765,33069.0619275049,False,23.94,43.3066885476,96.8366994728,False
5830,(2023 VO9),2023-12-27,41153833.629654415,10766.0959803991,False,22.54,82.5191938525,184.5185269026,False
5831,(2023 XR12),2023-12-27,16672492.936360627,112358.014680037,True,20.59,202.5606008648,452.9392730968,False
5832,(2023 XU17),2023-12-27,8228084.777204926,26036.4658668037,False,25.23,23.9086457171,53.4613570733,False
5833,(2023 YL1),2023-12-27,19505382.188160066,46801.3458318696,False,20.91,174.8054531691,390.8768761237,False
5834,(2024 AG),2023-12-27,2781056.058209292,52974.1893472312,False,25.96,17.0826395263,38.1979432159,False
